ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
339,Virgil,Liverpool,152,Defender,6.0,3.76,90,Chelsea (H),0.087,0.035,0.119,0.288,0.097
340,Akanji,Man City,207,Defender,5.5,3.85,83,Wolves (A),0.075,0.046,0.118,0.426,0.085
341,Aké,Man City,152,Defender,5.3,0.03,4,Wolves (A),0.031,0.02,0.051,0.165,0.035
342,Bernardo,Man City,173,Midfielder,6.5,4.48,82,Wolves (A),0.224,0.208,0.385,0.426,0.271
344,Carson,Man City,241,Goalkeeper,4.0,0.0,0,Wolves (A),0.0,0.0,0.0,0.0,0.0
345,De Bruyne,Man City,21,Midfielder,9.4,2.66,34,Wolves (A),0.148,0.193,0.312,0.256,0.184
346,Doku,Man City,21,Midfielder,6.3,2.03,37,Wolves (A),0.173,0.134,0.284,0.335,0.211
347,Ederson M.,Man City,30,Goalkeeper,5.5,4.14,90,Wolves (A),0.0,0.0,0.0,0.426,0.0
348,Foden,Man City,241,Midfielder,9.2,3.37,48,Wolves (A),0.101,0.058,0.153,0.119,0.136
349,Grealish,Man City,241,Midfielder,6.4,3.38,64,Wolves (A),0.191,0.22,0.369,0.426,0.231
350,Gvardiol,Man City,97,Defender,5.9,4.77,85,Wolves (A),0.11,0.103,0.202,0.426,0.124
351,Haaland,Man City,161,Forward,15.4,8.14,90,Wolves (A),0.64,0.231,0.723,0.426,1.148
354,Kovačić,Man City,97,Midfielder,5.5,3.23,75,Wolves (A),0.11,0.127,0.223,0.426,0.124
355,Lewis,Man City,241,Defender,4.7,2.65,61,Wolves (A),0.075,0.11,0.177,0.426,0.085
356,Matheus N.,Man City,173,Midfielder,4.9,0.02,2,Wolves (A),0.013,0.008,0.021,0.034,0.016
359,Phillips,Ipswich,241,Midfielder,4.9,2.67,79,Everton (H),0.055,0.089,0.138,0.276,0.063
360,Rodrigo,Man City,200,Midfielder,6.3,0.0,0,Wolves (A),0.016,0.014,0.029,0.119,0.02
361,Rúben,Man City,173,Defender,5.5,3.91,79,Wolves (A),0.075,0.038,0.11,0.426,0.085
362,Stones,Man City,241,Defender,5.3,0.29,16,Wolves (A),0.023,0.017,0.04,0.114,0.026
363,Walker,Man City,241,Defender,5.3,1.13,29,Wolves (A),0.055,0.098,0.147,0.426,0.063
